id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4DMKwE2E2iYDKY01C335Uw,Carry on Wayward Son,76,323000,0,['Kansas'],['2hl0xAkS2AIRAu23TVMBG1'],1976,0.482,0.786,7,-5.735,1,0.032,0.00321,8.88e-05,0.446,0.793,126.755,4
0KMGxYKeUzK9wc5DZCt3HT,If You Leave Me Now,76,235373,0,['Chicago'],['3iDD7bnsjL9J4fO298r0L0'],1976-06-14,0.429,0.564,11,-6.784,1,0.0268,0.0193,0.000828,0.128,0.276,104.212,4
43DeSV93pJPT4lCZaWZ6b1,The Boys Are Back In Town,76,266720,0,['Thin Lizzy'],['6biWAmrHyiMkX49LkycGqQ'],1976,0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823,4
7MRyJPksH3G2cXHN8UKYzP,American Girl,75,214733,0,['Tom Petty and the Heartbreakers'],['4tX2TplrkIP4v05BNC903e'],1976-11-09,0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,4
6A9mKXlFRPMPem6ygQSt7z,Three Little Birds,80,180267,0,['Bob Marley & The Wailers'],['2QsynagSdAqZj3U9HgDzjD'],1977-01-03,0.814,0.482,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404,4
6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,78,206267,0,['Kansas'],['2hl0xAkS2AIRAu23TVMBG1'],1977,0.475,0.322,7,-10.687,1,0.0283,0.367,0.00056,0.11,0.387,93.503,4
6zC0mpGYwbNTpk9SKwh08f,Wonderful Tonight,77,225027,0,['Eric Clapton'],['6PAt558ZEZl0DmdXlnjMgD'],1977-11-01,0.572,0.214,7,-15.625,1,0.0293,0.649,0.129,0.125,0.485,95.542,4
0bRXwKfigvpKZUurwqAlEh,Lovely Day,77,254560,0,['Bill Withers'],['1ThoqLcyIYvZn7iWbj8fsj'],1977-10-29,0.69,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.918,4
1JQ6Xm1JrvHfvAqhl5pwaA,Easy,77,256427,0,['Commodores'],['6twIAGnYuIT1pncMAsXnEm'],1977-01-01,0.589,0.384,10,-15.075,0,0.0332,0.112,2.8e-05,0.0596,0.354,132.909,4
6XUHsYE38CEbYunT983O9G,Give A Little Bit,76,248173,0,['Supertramp'],['3JsMj0DEzyWc0VDlHuy9Bx'],1977-01-01,0.531,0.818,2,-5.358,1,0.0452,0.0694,0.0096,0.263,0.471,90.767,4
4zn0kScuV9Oj28d4g9CQQs,Jamming,75,211000,0,['Bob Marley & The Wailers'],['2QsynagSdAqZj3U9HgDzjD'],1977-01-03,0.934,0.467,11,-10.99,0,0.307,0.102,3.98e-05,0.109,0.73,123.583,4
4KfSdst7rW39C0sfhArdrz,Barracuda,75,261933,0,['Heart'],['34jw2BbxjoYalTp8cJFCPv'],1977-05-14,0.547,0.691,4,-13.553,0,0.0369,0.015,0.105,0.144,0.667,137.148,4
2grjqo0Frpf2okIBiifQKs,September,81,215093,0,"['Earth, Wind & Fire']",['4QQgXkCYTt3BlENzhyNETg'],1978-11-23,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,4
37Tmv4NnfQeb0ZgUC4fOJj,Sultans Of Swing,81,348624,0,['Dire Straits'],['0WwSkZ7LtFUFjGjMZBMt6T'],1978-10-07,0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,4
4aVuWgvD0X63hcOCnZtNFA,Hold the Line,78,235547,0,['TOTO'],['0PFtn5NtBbbUNbU9EAmIWF'],1978-10-10,0.473,0.898,6,-4.797,0,0.0561,0.00783,0.0618,0.173,0.808,96.556,4
3EYOJ48Et32uATr9ZmLnAo,Roxanne,77,191947,0,['The Police'],['5NGO30tJxFlKixkPSgXcFE'],1978-11-02,0.618,0.748,0,-8.905,1,0.358,0.0384,4.1e-06,0.0473,0.663,134.114,4
6JRLFiX9NJSoRRKxowlBYr,Is This Love,76,232200,0,['Bob Marley & The Wailers'],['2QsynagSdAqZj3U9HgDzjD'],1978,0.776,0.559,6,-8.375,0,0.103,0.11,0.0,0.0671,0.758,122.242,4
5KqldkCunQ2rWxruMEtGh0,The Gambler,75,214880,0,['Kenny Rogers'],['4tw2Lmn9tTPUv7Gy7mVPI4'],1978-11-20,0.671,0.501,4,-13.119,1,0.0594,0.342,0.0,0.194,0.86,87.04,4
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,84,208400,0,['AC/DC'],['711MCceyCBcFnzjGY4Q7Un'],1979-07-27,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,4
2JoZzpdeP2G6Csfdq5aLXP,How Deep Is Your Love,76,245200,0,['Bee Gees'],['1LZEQNv7sE11VDY3SdxQeN'],1979-01-01,0.633,0.357,5,-9.366,0,0.0264,0.105,0.0,0.133,0.674,104.938,4
1oYYd2gnWZYrt89EBXdFiO,Message In A Bottle,76,290280,0,['The Police'],['5NGO30tJxFlKixkPSgXcFE'],1979-10-02,0.577,0.808,1,-7.04,0,0.039,0.0338,1.33e-05,0.221,0.869,151.008,4
6ztstiyZL6FXzh4aG46ZPD,Boogie Wonderland,75,288293,0,"['Earth, Wind & Fire', 'The Emotions']","['4QQgXkCYTt3BlENzhyNETg', '64CuUOOirKmdAYLQSfaOyr']",1979-06,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,4
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,85,255493,0,['AC/DC'],['711MCceyCBcFnzjGY4Q7Un'],1980-07-25,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,4
2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,81,210173,0,['AC/DC'],['711MCceyCBcFnzjGY4Q7Un'],1980-07-25,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,4
5O4erNlJ74PIF6kGol1ZrC,Could You Be Loved,78,237000,0,['Bob Marley & The Wailers'],['2QsynagSdAqZj3U9HgDzjD'],1980,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312,4
4w3tQBXhn5345eUXDGBWZG,9 to 5,78,162467,0,['Dolly Parton'],['32vWCbZh0xZ4o9gkz4PsEU'],1980,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,4
6EPRKhUOdiFSQwGBRBbvsZ,Ace of Spades,75,166920,0,['Motörhead'],['1DFr97A9HnbV3SKTJFu62M'],1980-11-08,0.329,0.974,3,-8.77,0,0.135,0.000852,0.000118,0.0904,0.234,140.862,4
5fdNHVZHbWB1AaXk4RBGVD,Just the Two of Us,75,443773,0,"['Grover Washington, Jr.']",['05YVYeV4HxYp5rrWalvuE1'],1980,0.743,0.43,10,-14.575,0,0.0906,0.445,0.363,0.0455,0.593,95.406,4
0cGG2EouYCEEC3xfa0tDFV,Tainted Love,76,153800,0,['Soft Cell'],['6aq8T2RcspxVOGgMrTzjWc'],1981,0.5,0.501,0,-8.284,0,0.0376,0.462,0.0,0.26,0.623,144.438,4
44aTAUBF0g6sMkMNE8I5kd,Every Little Thing She Does Is Magic,75,260573,0,['The Police'],['5NGO30tJxFlKixkPSgXcFE'],1981-10-02,0.558,0.768,2,-9.997,1,0.0343,0.121,0.0626,0.124,0.429,81.909,4
5ChkMS8OtdzJeqyybCc9R5,Billie Jean,85,293827,0,['Michael Jackson'],['3fMbdgg4jU18AjLCKBhRSm'],1982-11-30,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,4
2374M0fQpWi3dLnB54qaLX,Africa,84,295893,0,['TOTO'],['0PFtn5NtBbbUNbU9EAmIWF'],1982-04-08,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,4
1OOtq8tRnDM8kG2gqUPjAj,Beat It,80,258040,0,['Michael Jackson'],['3fMbdgg4jU18AjLCKBhRSm'],1982-11-30,0.779,0.867,3,-3.704,0,0.0457,0.0491,7.98e-06,0.197,0.915,138.858,4
3MrWxJaD2AT0W9DjWF64Vm,Come On Eileen,77,287307,0,['Dexys Midnight Runners'],['4QTVePrFu1xuGM9K0kNXkk'],1982-07-22,0.45,0.656,2,-7.049,1,0.0472,0.664,3.02e-06,0.259,0.782,106.61,4
7j74lucZ59vqN67Ipe2ZcY,Maneater,75,273173,0,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],1982-10-04,0.724,0.498,11,-13.083,0,0.0423,0.0405,8.56e-05,0.0761,0.823,88.825,4
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,85,253920,0,['The Police'],['5NGO30tJxFlKixkPSgXcFE'],1983-06-17,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4
4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,79,238267,0,['Cyndi Lauper'],['2BTZIqw0ntH9MvilQ3ewNY'],1983-10-14,0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372,4
5zA8vzDGqPl2AzZkEYQGKh,Uptown Girl,79,197707,0,['Billy Joel'],['6zFYqv1mOsgBRQbae3JJ9e'],1983-08-08,0.701,0.943,4,-2.986,1,0.0456,0.0747,0.0,0.601,0.791,128.992,4
0QKfiqpEU4h9ycPSzIFwYe,Maniac,76,244707,0,['Michael Sembello'],['771qBvjnXOH9Azr6lKy6FB'],1983-04-11,0.617,0.533,3,-11.516,0,0.0651,0.0891,4.04e-06,0.0415,0.835,158.86,4
1mCsF9Tw4AkIZOjvZbZZdT,Break My Stride,76,184480,0,['Matthew Wilder'],['3bmFPbLMiLxtR9tFrTcKcP'],1983-03-19,0.917,0.588,10,-11.047,1,0.0607,0.195,0.0,0.0914,0.828,110.077,4
7FwBtcecmlpc1sLySPXeGE,Dancing In the Dark,78,241307,0,['Bruce Springsteen'],['3eqjTLE0HfPfh78zjh6TqT'],1984-06-04,0.527,0.942,1,-5.64,0,0.0366,0.0115,0.0,0.188,0.495,148.723,4
4gvea7UlDkAvsJBPZAd4oB,The Boys Of Summer,78,288733,0,['Don Henley'],['5dbuFbrHa1SJlQhQX9OUJ2'],1984-01-01,0.516,0.549,6,-13.741,1,0.0373,0.501,0.00572,0.184,0.907,176.941,4
7Ewz6bJ97vUqk5HdkvguFQ,Heaven,77,243360,0,['Bryan Adams'],['3Z02hBLubJxuFJfhacLSDc'],1984-11-05,0.382,0.589,9,-7.315,0,0.0267,0.0465,0.0,0.122,0.335,140.059,4
54X78diSLoUDI3joC2bjMz,Purple Rain,76,520787,0,['Prince'],['5a2EaR3hamoenG9rDuVn8j'],1984-06-25,0.367,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.689,0.189,113.066,4
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,86,225280,0,['a-ha'],['2jzc5TC5TVFLXQlBNiIUzE'],1985-06-01,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,84,251489,0,['Tears For Fears'],['4bthk9UfsYUYdcFyqxmSUU'],1985-02-25,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4
05wIrZSwuaVWhcv5FfqeH0,Walking On Sunshine,79,238733,0,['Katrina & The Waves'],['2TzHIUhVpeeDxyJPpQfnV3'],1985,0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902,4
3Ud6fFep5ZlXzRWw6Sm8no,Walk Of Life,78,249960,0,['Dire Straits'],['0WwSkZ7LtFUFjGjMZBMt6T'],1985-05-13,0.462,0.918,4,-8.507,1,0.0959,0.405,0.00033,0.126,0.802,172.427,4
6OnfBiiSc9RGKiBKKtZXgQ,We Built This City,78,296080,0,['Starship'],['0kObWap02DEg9EAJ3PBxzf'],1985-09-10,0.661,0.908,5,-4.897,1,0.039,0.052,0.0,0.0708,0.656,144.091,4
2KH16WveTQWT6KOG9Rg6e2,Eye of the Tiger,77,245640,0,['Survivor'],['26bcq2nyj5GB7uRr558iQg'],1985,0.817,0.599,0,-9.249,0,0.0328,0.132,0.000311,0.0873,0.548,108.873,4
31DvHUCSioX0JD7B4kZMJ9,Money For Nothing,75,510933,0,['Dire Straits'],['0WwSkZ7LtFUFjGjMZBMt6T'],1985-05-13,0.666,0.667,2,-9.305,0,0.0371,0.043,0.0005,0.074,0.679,134.219,4
0rmGAIH9LNJewFw7nKzZnc,You Give Love A Bad Name,81,222707,0,['Bon Jovi'],['58lV9VcRSjABbAbfWS6skp'],1986-08-16,0.541,0.96,0,-2.947,0,0.0505,0.0663,2.25e-06,0.344,0.812,122.803,4
3MrRksHupTVEQ7YbA0FsZK,The Final Countdown,78,310333,0,['Europe'],['7Js6Lde8thlIHXggv2SCBz'],1986,0.529,0.843,6,-6.908,0,0.0616,0.0628,0.000827,0.0608,0.188,117.662,4
0qxYx4F3vm1AOnfux6dDxP,You Can Call Me Al,77,280000,0,['Paul Simon'],['2CvCyf1gEVhI0mX6aFXmVI'],1986-08-12,0.776,0.763,5,-8.124,1,0.0535,0.182,0.0065,0.077,0.82,128.433,4
1GeNWyZtCHbcp3ZWp8GTOO,The Lady In Red,76,256173,0,['Chris de Burgh'],['2RpHsROrX075xfIwHn6B2U'],1986-01-01,0.548,0.294,10,-17.112,1,0.0333,0.332,3.34e-06,0.0392,0.491,76.698,4
0oerlffJSzhRVvtDfLcp3N,Wanted Dead Or Alive,75,308667,0,['Bon Jovi'],['58lV9VcRSjABbAbfWS6skp'],1986-08-16,0.252,0.802,7,-3.976,1,0.0391,0.13,0.0146,0.309,0.253,150.056,4
2MuWTIM3b0YEAskbeeFE1i,Master Of Puppets,75,515387,0,['Metallica'],['2ye2Wgw4gimLv2eAKyk1NB'],1986-03-03,0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.173,4
3YBZIN3rekqsKxbJc9FZko,Paradise City,79,405640,0,"[""Guns N' Roses""]",['3qm84nBOXUEQ2vnTfUTTFC'],1987-07-21,0.273,0.952,11,-8.762,1,0.0843,0.0169,0.0111,0.142,0.472,100.271,4
1uKjQoh8JZj9ryuYRhpd7E,Ahora Te Puedes Marchar,79,191973,0,['Luis Miguel'],['2nszmSgqreHSdJA3zWPyrW'],1987-07-15,0.78,0.877,6,-3.683,0,0.0427,0.148,2.36e-06,0.0627,0.909,133.263,4
0bVtevEgtDIeRjCJbK3Lmv,Welcome To The Jungle,78,272027,0,"[""Guns N' Roses""]",['3qm84nBOXUEQ2vnTfUTTFC'],1987-07-21,0.447,0.954,8,-8.069,1,0.0751,0.0235,0.403,0.298,0.331,123.453,4
54b8qPFqYqIndfdxiLApea,Alone,75,218733,0,['Heart'],['34jw2BbxjoYalTp8cJFCPv'],1987-06-06,0.418,0.452,1,-13.099,1,0.0356,0.638,0.00026,0.0959,0.168,175.088,4
4mn2kNTqiGLwaUR8JdhJ1l,House of the Rising Sun,75,269907,0,['The Animals'],['3ICflSq6ZgYAIrm2CTkfVP'],1987-10-19,0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363,3
2M9ro2krNb7nr7HSprkEgo,Fast Car,79,296800,0,['Tracy Chapman'],['7oPgCQqMMXEXrNau5vxYZP'],1988-04-05,0.711,0.292,4,-15.523,0,0.037,0.313,0.0,0.131,0.194,103.951,4
6F9yAYUaNbUhdlQyt5uZ3b,La Incondicional,77,257027,0,['Luis Miguel'],['2nszmSgqreHSdJA3zWPyrW'],1988-11-25,0.374,0.727,10,-4.352,1,0.0309,0.237,0.0,0.134,0.283,155.127,4
2DjWsDGgL1xNbhnr7f6t5F,Baby Can I Hold You,75,193120,0,['Tracy Chapman'],['7oPgCQqMMXEXrNau5vxYZP'],1988-04-05,0.692,0.422,2,-10.533,1,0.0333,0.0811,0.0,0.0848,0.468,74.375,4
7GonnnalI2s19OCQO1J7Tf,Kickstart My Heart,77,282653,0,['Mötley Crüe'],['0cc6vw3VN8YlIcvr1v7tBL'],1989,0.359,0.981,7,-3.622,0,0.303,0.00125,0.00236,0.284,0.271,178.98,4
4LFwNJWoj74Yd71fIr1W8x,Right Here Waiting,77,264333,0,['Richard Marx'],['0grdhNhiRLFBaFVyybqsj6'],1989-01-01,0.395,0.252,0,-13.589,1,0.0301,0.8,0.0,0.101,0.126,177.679,4
57bgtoPSgt236HzfBOd8kj,Thunderstruck,83,292880,0,['AC/DC'],['711MCceyCBcFnzjGY4Q7Un'],1990-09-24,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,4
3ovjw5HZZv43SxTwApooCM,Wind Of Change,79,312360,0,['Scorpions'],['27T030eWyCQRmDyuvr1kxY'],1990-01-01,0.452,0.524,0,-10.108,1,0.0351,0.315,0.0,0.103,0.246,151.505,4
